ACT composite score,SAT total score,parental level of education, parental income ,high school gpa,college gpa,years to graduate
32,2075,associate's degree," $61,446 ",4,3.4,8
25,1891,some college," $71,120 ",3.4,3.2,4
30,2014,some college," $45,340 ",3.9,3,6
28,1938,some high school," $19,452 ",3.7,2.9,6
30,2154,high school," $59,045 ",4,3.6,4
32,2111,high school," $82,362 ",4,3.8,3
31,2161,associate's degree," $92,230 ",4,3.8,3
29,2104,some college," $81,195 ",4,3.5,4
29,2042,master's degree," $102,364 ",3.9,3.2,7
25,1854,high school," $37,021 ",3.3,2.8,9
34,2250,master's degree," $86,656 ",4,3.2,5
28,1888,high school," $48,701 ",3.7,3.2,5
27,1931,some college," $46,610 ",3.7,3.1,6
30,2081,associate's degree," $71,530 ",3.9,3.6,3
31,2016,associate's degree," $74,128 ",3.9,3.3,5
29,2018,some college," $48,783 ",3.9,3.4,7
36,2358,master's degree," $94,092 ",4,3.7,7
31,2171,some college," $57,107 ",4,3.5,4
28,2055,associate's degree," $75,310 ",3.8,3.7,5
27,1943,some college," $77,835 ",3.7,3.2,9
24,1791,master's degree," $101,397 ",3.2,3.3,4
28,1925,some high school," $49,750 ",3.6,3.3,8
21,1628,some high school," $36,769 ",2.8,3.1,6
28,2024,bachelor's degree," $80,024 ",4,3.3,6
27,1934,some high school," $71,045 ",3.4,3.4,5
26,1855,associate's degree," $76,883 ",3.5,3.5,8
25,1880,some high school," $27,165 ",3.3,3.1,5
27,1797,some high school," $55,458 ",3.3,3.2,4
33,2222,bachelor's degree," $95,449 ",4,3.6,4
31,2053,bachelor's degree," $102,696 ",4,3.6,8
26,1797,some high school," $55,366 ",3.4,3.3,4
32,2171,associate's degree," $76,111 ",4,3.4,5
26,1888,some high school," $42,848 ",3.5,3.3,5
34,2185,high school," $101,013 ",4,3.6,6
26,2007,some high school," $36,811 ",3.7,3.3,8
32,2165,bachelor's degree," $74,655 ",4,3.2,5
31,2135,associate's degree," $79,017 ",4,3.6,4
31,2024,some college," $84,826 ",4,3.7,7
35,2273,master's degree," $93,051 ",4,3.8,5
27,2016,associate's degree," $74,430 ",3.9,3.5,5
28,1980,some college," $59,923 ",3.8,2.9,7
31,2081,high school," $75,411 ",3.9,3.8,4
25,1852,bachelor's degree," $93,113 ",3.4,3.5,4
29,2058,associate's degree," $74,172 ",4,3.4,7
30,2017,associate's degree," $56,874 ",3.9,3.3,4
28,1954,associate's degree," $89,951 ",3.7,3.6,4
31,2193,associate's degree," $85,118 ",4,3.6,8
34,2192,some college," $30,934 ",4,3.5,6
26,1969,high school," $74,692 ",3.7,3,7
25,1747,some high school," $48,398 ",3.2,3.2,5
27,1945,high school," $59,506 ",3.5,3.5,7
26,1869,bachelor's degree," $89,105 ",3.5,3.5,6
26,1933,some high school," $53,021 ",3.6,3.6,4
29,1991,high school," $63,309 ",3.8,3.2,7
27,1913,some high school," $57,252 ",3.6,3.5,3
29,2049,some high school," $59,398 ",3.8,3.4,4
33,2230,some college," $81,075 ",4,3.6,4
32,2077,some college," $77,575 ",4,3.2,8
28,1971,associate's degree," $71,186 ",3.8,3.4,4
29,2094,master's degree," $91,724 ",3.9,3.5,4
27,1903,some high school," $46,053 ",3.5,3.3,5
28,2120,high school," $38,167 ",3.9,3.6,6
29,2107,some college," $42,981 ",3.9,3.2,9
27,1922,high school," $42,724 ",3.5,3.1,6
31,1998,some high school," $72,599 ",3.9,3.1,7
28,2113,some college," $98,997 ",4,3.8,3
24,1739,some high school," $44,323 ",3,2.6,9
31,2084,master's degree," $90,239 ",4,3.5,5
31,2034,associate's degree," $102,942 ",4,3.5,4
27,1980,high school," $53,177 ",3.6,3.1,6
30,2028,some college," $73,172 ",4,3.4,4
32,2006,associate's degree," $73,173 ",4,3.3,6
28,2001,some college," $63,108 ",3.8,3.5,5
32,2159,some college," $59,782 ",4,3.4,4
28,1933,some high school," $50,333 ",3.6,3,5
28,1960,some high school," $25,347 ",3.5,3.1,5
29,2136,associate's degree," $94,534 ",4,3.6,4
32,2159,associate's degree," $58,995 ",4,3.6,4
29,2021,bachelor's degree," $107,584 ",3.7,3.2,6
28,1895,some high school," $46,871 ",3.5,3.3,7
32,2154,some college," $70,905 ",4,3.4,4
29,2050,associate's degree," $49,212 ",4,3.4,8
30,2079,some college," $97,216 ",4,3.7,5
30,1921,high school," $80,039 ",3.7,3.4,8
28,2094,master's degree," $97,638 ",3.9,3.6,6
22,1764,some high school," $28,149 ",3,3.1,5
30,2041,some college," $67,357 ",3.8,3.2,5
32,2141,some college," $68,337 ",4,3.6,4
25,1958,associate's degree," $65,779 ",3.4,3.4,5
30,2171,bachelor's degree," $82,445 ",4,3.5,6
31,2109,high school," $20,293 ",3.9,3.3,5
23,1765,high school," $63,831 ",3.2,3,9
23,1621,high school," $51,278 ",3,3.1,5
27,1864,some high school," $69,211 ",3.3,3.1,4
27,1893,some college," $56,630 ",3.3,3.2,4
28,2017,some college," $62,150 ",3.8,3.2,4
26,1832,some high school," $28,863 ",3.3,3,6
28,1976,some high school," $47,700 ",3.6,3.1,7
33,2279,bachelor's degree," $73,979 ",4,3.5,4
28,1869,some high school," $61,208 ",3.3,3.1,4
26,1934,some college," $75,008 ",3.6,3.2,5
27,1952,some college," $97,194 ",3.5,3.4,4
25,1851,some college," $68,296 ",3.4,3.1,5
29,1979,associate's degree," $74,620 ",3.8,3.5,4
22,1711,some college," $65,491 ",2.9,3.1,6
30,2120,some college," $75,846 ",4,3.3,6
27,1924,associate's degree," $82,191 ",3.6,3.5,4
33,2248,associate's degree," $66,233 ",4,3.7,6
31,2037,associate's degree," $59,896 ",3.9,3.3,4
29,2041,some high school," $61,264 ",3.8,3.6,6
27,2010,associate's degree," $64,341 ",3.7,3.3,5
31,2079,bachelor's degree," $70,454 ",3.9,3.6,3
28,1982,associate's degree," $69,881 ",3.7,3.6,3
25,1758,some high school," $46,564 ",3.2,2.8,6
28,1961,some college," $75,540 ",3.8,3.2,6
27,1959,some high school," $54,414 ",3.7,3.6,3
29,1981,some college," $83,983 ",3.8,3.7,5
30,2027,some college," $35,814 ",3.7,3.2,9
30,1991,high school," $78,999 ",3.8,3.4,9
26,1758,some college," $54,200 ",3.3,3.3,4
28,2085,bachelor's degree," $87,107 ",3.8,3.4,4
27,1813,some high school," $41,688 ",3.3,3.1,5
32,2126,master's degree," $79,024 ",4,3.7,3
23,1702,high school," $53,472 ",3,2.9,5
25,1843,some high school," $73,667 ",3.2,3.2,4
28,1941,associate's degree," $54,945 ",3.7,3.5,3
31,2051,master's degree," $85,519 ",4,3.6,4
30,2017,some high school," $79,680 ",3.9,3.8,5
24,1805,some college," $69,015 ",3.3,3.5,3
27,1902,high school," $71,504 ",3.5,3.7,3
24,1820,some college," $73,259 ",3.2,3.5,4
25,1816,some high school," $65,988 ",3.3,2.9,5
25,1749,some high school," $45,852 ",3.1,3.3,4
27,1990,master's degree," $112,869 ",3.7,3.7,4
33,2224,master's degree," $91,722 ",4,4,3
31,2121,master's degree," $72,604 ",4,3.6,5
27,1860,some high school," $43,246 ",3.5,3.3,6
28,1941,some high school," $72,922 ",3.6,3.5,4
24,1772,high school," $30,363 ",3.1,2.8,7
34,2198,associate's degree," $56,683 ",4,3.7,3
30,1996,bachelor's degree," $74,939 ",3.9,3.3,4
28,2043,some college," $57,005 ",3.7,3.4,5
31,2056,some college," $79,877 ",4,3.3,5
36,2270,associate's degree," $50,569 ",4,3.7,3
30,2093,associate's degree," $83,434 ",3.9,3.5,4
30,1951,high school," $57,537 ",3.8,3.4,6
29,1944,some college," $97,086 ",3.8,3.4,4
27,2023,bachelor's degree," $48,266 ",3.9,3.2,8
23,1806,some high school," $86,335 ",3.2,3.4,7
29,2015,high school," $60,620 ",3.8,3.3,8
29,1939,associate's degree," $81,465 ",3.8,3.5,4
27,1828,high school," $40,029 ",3.4,3,6
31,2200,some high school," $53,254 ",4,3.7,3
27,2051,some high school," $38,891 ",3.7,3.5,5
27,1877,some college," $65,190 ",3.6,3,6
31,2173,associate's degree," $104,267 ",4,3.5,6
26,2015,some college," $79,807 ",3.7,3.7,3
25,1797,some high school," $64,254 ",3.3,3.2,4
29,2089,associate's degree," $46,093 ",3.9,3.4,5
33,2190,master's degree," $88,066 ",4,3.8,5
28,1913,high school," $72,890 ",3.5,3,5
30,2084,master's degree," $60,542 ",4,3.3,5
28,1965,some college," $55,937 ",3.8,3.2,6
25,1924,some college," $61,445 ",3.5,3.4,3
30,2068,bachelor's degree," $78,028 ",3.9,3.3,4
35,2366,associate's degree," $47,287 ",4,3.5,5
30,2058,associate's degree," $85,006 ",4,3.5,5
28,1972,high school," $30,155 ",3.6,3.5,4
33,2183,associate's degree," $78,059 ",4,3.6,8
29,2112,bachelor's degree," $66,927 ",3.9,3.5,4
25,1987,some college," $71,225 ",3.7,3.6,4
29,2111,some college," $88,025 ",3.9,3.6,4
30,2165,associate's degree," $71,615 ",4,3.5,8
28,1942,high school," $46,019 ",3.8,3.4,5
27,2063,master's degree," $85,553 ",4,3.7,3
20,1608,some high school," $22,068 ",2.8,2.7,6
27,1858,associate's degree," $87,625 ",3.4,3.7,3
29,1953,high school," $47,558 ",3.7,3.5,4
31,2147,some college," $58,622 ",4,3.3,4
29,2010,high school," $49,923 ",3.8,3.4,6
32,2133,some college," $87,530 ",4,3.6,4
32,2180,some college," $43,207 ",4,3.4,5
29,2088,bachelor's degree," $77,766 ",3.9,3.4,8
31,2107,some high school," $52,653 ",4,3.2,6
31,2061,master's degree," $118,989 ",3.9,3.5,4
28,2028,high school," $35,836 ",3.6,3.3,9
28,1907,high school," $59,330 ",3.6,2.9,9
27,1862,high school," $57,643 ",3.5,3.1,5
27,1887,associate's degree," $78,450 ",3.5,3.4,4
27,1848,high school," $81,577 ",3.4,3.4,4
26,1908,some college," $35,642 ",3.5,3.2,8
32,2191,some college," $61,567 ",4,3.2,5
30,2008,some high school," $54,647 ",3.8,3,5
25,1722,some high school," $31,233 ",3.1,2.7,10
26,1938,some college," $75,639 ",3.6,3.1,5
27,1983,high school," $51,832 ",3.6,3.1,6
30,1951,master's degree," $91,178 ",3.7,3.8,4
30,2096,some college," $75,559 ",4,3.5,4
29,2009,some college," $76,925 ",3.8,3.7,4
27,1971,high school," $65,163 ",3.6,3.5,4
26,1698,some high school," $21,693 ",3.1,2.8,6
26,1876,some college," $60,782 ",3.5,3.3,4
25,1809,high school," $53,205 ",3.2,3,5
23,1693,some high school," $67,457 ",3.1,3.2,5
28,1857,high school," $90,919 ",3.5,3.3,4
30,2120,master's degree," $84,474 ",4,3.5,4
30,2150,master's degree," $90,677 ",3.9,3.7,4
29,2018,some high school," $37,103 ",3.7,2.9,6
34,2349,master's degree," $96,281 ",4,3.6,5
26,1806,high school," $42,594 ",3.2,3.3,5
29,2042,high school," $53,314 ",3.8,3.4,6
32,2230,some college," $87,672 ",4,3.6,5
29,2011,master's degree," $87,878 ",3.7,3.6,3
30,2032,high school," $56,946 ",3.9,3.5,4
26,1965,some high school," $58,196 ",3.6,3.2,4
32,2213,associate's degree," $63,353 ",4,3.4,5
25,1850,master's degree," $94,537 ",3.4,3.4,4
25,1763,some high school," $52,691 ",3.2,2.9,7
24,1858,associate's degree," $70,951 ",3.5,3.4,4
28,2021,some college," $66,483 ",3.8,3.4,4
30,2093,associate's degree," $84,406 ",3.9,3.2,9
29,1967,some college," $92,666 ",3.7,3.5,4
28,2029,bachelor's degree," $86,592 ",3.8,3.4,6
28,1910,associate's degree," $64,312 ",3.5,3.2,4
29,2002,high school," $39,052 ",3.8,3,8
22,1708,some high school," $62,473 ",3,3.2,4
30,1944,some college," $66,367 ",3.7,3.7,3
26,1823,high school," $73,136 ",3.3,3.6,3
27,1965,high school," $50,732 ",3.7,3.1,5
28,1949,some college," $57,523 ",3.8,3.3,5
26,1956,some college," $89,273 ",3.5,3.4,4
27,1822,high school," $64,070 ",3.3,3.2,4
30,2055,high school," $64,220 ",3.9,3.5,4
27,1921,some high school," $41,526 ",3.6,3.4,4
34,2252,associate's degree," $85,873 ",4,3.3,8
24,1787,some high school," $80,078 ",3.2,3,7
32,2130,associate's degree," $65,608 ",4,3.8,3
26,1756,high school," $82,890 ",3.1,3.2,4
28,1876,some high school," $26,765 ",3.5,3,6
24,1832,some college," $74,517 ",3.2,2.8,5
28,1887,some high school," $70,911 ",3.5,3.6,3
34,2028,high school," $34,307 ",4,3.4,5
29,2071,associate's degree," $76,588 ",4,3.5,4
31,2262,high school," $67,931 ",4,3.9,3
26,1864,some high school," $69,374 ",3.3,3.2,4
31,2171,bachelor's degree," $74,624 ",4,3.6,6
26,1915,some college," $47,708 ",3.4,3.3,5
31,2110,some college," $86,905 ",4,3.7,4
23,1730,some college," $79,088 ",3.1,3.2,4
24,1770,some high school," $67,819 ",3.2,2.9,5
27,1880,high school," $48,219 ",3.4,3.2,5
22,1632,some college," $86,108 ",3,3.2,4
27,1894,some college," $64,409 ",3.6,3.2,8
28,1979,some college," $46,444 ",3.7,3.2,6
24,1851,bachelor's degree," $63,769 ",3.4,3.2,4
29,2097,associate's degree," $69,144 ",3.9,3.2,6
26,1937,associate's degree," $77,075 ",3.7,3.1,5
26,1918,associate's degree," $84,055 ",3.5,3.1,5
31,2111,associate's degree," $72,953 ",4,3.3,5
31,2098,associate's degree," $64,111 ",4,3.2,6
27,2008,bachelor's degree," $98,627 ",3.7,3.6,3
29,2069,associate's degree," $56,945 ",3.9,3.4,4
24,1806,high school," $39,618 ",3.2,3,6
27,1796,high school," $83,890 ",3.4,3.4,4
32,2207,master's degree," $85,878 ",4,3.6,4
23,1782,some high school," $46,944 ",3.2,3.1,5
28,2086,some college," $51,907 ",3.9,3.1,5
22,1681,some college," $56,351 ",3,3.4,3
33,2141,associate's degree," $80,407 ",4,3.6,4
30,1982,high school," $36,619 ",3.8,3.3,8
27,2033,associate's degree," $83,212 ",3.7,3.7,3
32,2244,associate's degree," $78,061 ",4,3.6,4
27,1982,associate's degree," $70,118 ",3.7,3.4,5
33,2238,some college," $74,347 ",4,3.9,3
20,1694,associate's degree," $80,617 ",3,3.3,4
28,1971,high school," $61,184 ",3.6,3.3,4
26,1848,high school," $48,558 ",3.4,3.3,5
24,1800,associate's degree," $84,093 ",3.3,3.2,4
29,2129,high school," $52,549 ",3.9,3.3,4
29,1910,high school," $44,729 ",3.8,3.3,5
32,2238,master's degree," $72,474 ",4,3.8,3
34,2363,master's degree," $77,473 ",4,3.3,5
32,2143,high school," $56,364 ",4,3.6,3
31,2134,bachelor's degree," $72,768 ",4,3.4,5
27,1895,some high school," $46,295 ",3.5,3.4,4
29,2013,some high school," $49,006 ",3.9,3.1,7
26,1943,some high school," $33,333 ",3.5,3.3,5
28,2004,master's degree," $90,072 ",3.8,3.6,4
30,1967,high school," $85,359 ",3.9,3.7,5
33,2225,associate's degree," $81,539 ",4,3.5,4
32,2171,master's degree," $58,603 ",4,3.6,4
27,1853,high school," $72,142 ",3.5,3.1,5
31,2092,bachelor's degree," $80,059 ",3.9,3.3,4
25,1901,bachelor's degree," $79,227 ",3.5,3,6
34,2226,high school," $53,749 ",4,3.7,5
31,2193,bachelor's degree," $71,108 ",4,3.5,4
34,2251,associate's degree," $82,072 ",4,3.8,3
31,2075,high school," $34,111 ",3.9,3.2,6
29,2031,associate's degree," $63,286 ",3.8,3.2,7
27,1918,high school," $62,234 ",3.5,3.2,5
28,2035,some college," $80,320 ",3.9,3.6,5
29,2005,high school," $52,549 ",3.7,3.6,7
28,1930,some high school," $42,407 ",3.7,3.1,5
30,1985,high school," $52,614 ",3.7,3.5,3
32,2015,some college," $82,577 ",4,3.4,6
26,1737,some college," $79,784 ",3.3,2.9,7
32,2160,high school," $38,335 ",4,3.8,4
33,2076,some high school," $31,912 ",4,3.3,5
29,1959,some college," $63,813 ",3.7,3.3,5
29,2007,bachelor's degree," $66,357 ",3.9,3.4,4
30,2021,associate's degree," $59,004 ",3.9,3.3,5
30,2050,some high school," $76,968 ",3.9,3.5,4
30,2067,high school," $35,618 ",3.8,3.3,7
35,2385,master's degree," $80,609 ",4,3.6,4
28,1988,some high school," $59,903 ",3.8,3.5,5
33,2314,master's degree," $100,428 ",4,3.8,4
31,2126,some high school," $66,851 ",3.9,3.3,5
31,2083,bachelor's degree," $81,636 ",4,3.6,4
32,2298,some college," $59,984 ",4,3.5,4
27,1850,associate's degree," $44,588 ",3.5,3.5,4
31,2121,master's degree," $89,924 ",4,3.4,6
25,1808,some high school," $49,546 ",3.3,3.4,6
27,1941,high school," $75,373 ",3.7,3.3,4
26,1927,some high school," $43,886 ",3.5,3.4,4
29,2040,master's degree," $85,883 ",3.8,3.3,6
29,1965,some high school," $53,011 ",3.6,3.1,5
29,2032,some high school," $31,567 ",3.8,3,6
31,2144,associate's degree," $75,148 ",4,3.4,6
28,1893,high school," $73,083 ",3.5,3.2,8
31,1993,associate's degree," $67,003 ",3.9,3.4,4
31,2126,bachelor's degree," $81,538 ",4,3.5,6
31,2083,some high school," $50,718 ",4,3.2,5
29,2018,some college," $56,317 ",3.9,3.2,6
31,2049,master's degree," $84,720 ",4,3.8,5
24,1818,some college," $55,436 ",3.1,3.3,4
29,1977,associate's degree," $61,542 ",3.6,3.3,4
28,1950,some high school," $42,932 ",3.7,3.3,5
31,2146,high school," $51,450 ",4,3.6,3
25,1809,some college," $53,982 ",3.3,3,5
28,1875,some college," $50,275 ",3.4,3.3,6
23,1729,some college," $84,008 ",3.1,3.2,4
33,2133,associate's degree," $68,917 ",4,3.3,6
27,1959,some college," $64,516 ",3.7,3.5,3
27,1895,some high school," $39,502 ",3.5,3.1,7
30,2026,high school," $53,769 ",3.8,3.2,6
28,1956,high school," $25,617 ",3.7,3,6
32,2089,some college," $56,364 ",4,3.2,5
34,2349,master's degree," $109,654 ",4,3.8,4
29,1981,some college," $59,565 ",3.8,3.3,4
27,1911,associate's degree," $59,688 ",3.5,3.3,4
32,2205,high school," $60,466 ",4,3.6,4
28,1929,some college," $81,427 ",3.5,3.2,4
25,1869,master's degree," $87,517 ",3.3,3.3,5
31,2204,bachelor's degree," $50,665 ",4,3.4,4
31,2150,high school," $40,013 ",4,3.4,6
27,1897,master's degree," $97,789 ",3.6,3.7,3
31,2079,associate's degree," $61,450 ",4,3.6,4
28,1960,some college," $77,952 ",3.8,2.9,8
29,1958,some college," $70,174 ",3.6,3.6,3
27,1965,high school," $51,953 ",3.5,3.5,3
27,1943,bachelor's degree," $82,909 ",3.6,3.4,7
25,1956,some college," $64,730 ",3.5,3.1,6
28,1892,associate's degree," $65,464 ",3.6,3.4,5
23,1783,high school," $43,626 ",3.1,3,6
30,2032,some college," $43,995 ",4,3.2,6
29,2073,some high school," $66,481 ",3.8,3.1,5
35,2318,bachelor's degree," $52,589 ",4,3.4,5
28,2084,bachelor's degree," $83,638 ",3.9,3.3,5
28,1860,some high school," $64,459 ",3.6,2.9,8
27,1900,high school," $68,541 ",3.4,3.3,4
30,2059,associate's degree," $71,283 ",4,3.8,3
28,2065,bachelor's degree," $93,133 ",3.8,3.2,5
28,1994,associate's degree," $56,549 ",3.7,3.7,4
25,1826,bachelor's degree," $84,786 ",3.3,3.2,4
27,1888,some college," $67,528 ",3.5,3.3,4
32,2259,master's degree," $110,514 ",4,4,4
31,2006,some high school," $79,454 ",3.9,3.6,6
27,1899,associate's degree," $72,260 ",3.5,3.2,4
30,2125,some college," $91,690 ",4,3.4,5
30,2148,associate's degree," $103,454 ",4,3.9,4
26,1908,some college," $79,534 ",3.5,3.2,5
30,2048,some college," $50,812 ",4,3.2,7
26,1918,some college," $82,517 ",3.6,3.4,4
33,2222,high school," $65,458 ",4,3.6,4
26,1801,some high school," $33,454 ",3.3,2.8,6
31,2059,some high school," $44,034 ",4,3.4,5
27,1858,some college," $26,848 ",3.3,3.1,6
31,2024,bachelor's degree," $84,455 ",3.9,3.5,4
30,1982,high school," $75,946 ",3.8,3.3,4
33,2298,associate's degree," $63,096 ",4,3.5,7
26,1907,associate's degree," $80,839 ",3.5,3.1,5
28,2026,master's degree," $108,037 ",3.9,3.4,8
30,2150,high school," $48,393 ",4,3.5,5
30,2116,some high school," $49,348 ",4,3.4,5
26,1884,high school," $44,485 ",3.4,3.3,5
30,2079,master's degree," $98,252 ",4,3.6,6
29,2143,some college," $80,679 ",3.9,3.4,5
34,2282,master's degree," $83,338 ",4,3.3,5
27,1873,some high school," $55,105 ",3.3,3.3,6
29,2155,associate's degree," $85,153 ",4,3.4,9
28,1964,high school," $39,663 ",3.6,3.3,6
25,1763,some high school," $63,280 ",3.2,3.1,7
30,2193,some college," $48,459 ",4,3,7
31,2115,associate's degree," $59,131 ",4,3.5,6
34,2108,high school," $86,692 ",4,4,3
27,1817,some high school," $48,466 ",3.3,3.2,9
32,2164,high school," $74,259 ",4,3.5,4
34,2282,bachelor's degree," $48,097 ",4,3.6,7
31,2169,master's degree," $97,545 ",4,3.5,5
25,1861,associate's degree," $68,765 ",3.4,3.3,4
32,2126,high school," $71,585 ",4,3,6
24,1889,some high school," $64,787 ",3.4,3.2,4
32,2219,associate's degree," $83,758 ",4,3.7,4
28,1965,associate's degree," $78,461 ",3.7,3.3,4
33,2225,associate's degree," $77,779 ",4,3.9,4
28,1910,some high school," $66,871 ",3.7,3.2,7
30,2129,some college," $40,394 ",4,3.1,6
29,1968,high school," $46,521 ",3.7,3.3,5
28,1983,associate's degree," $62,703 ",3.5,3.5,4
22,1834,some high school," $79,630 ",3.2,3.4,4
27,1897,high school," $81,054 ",3.5,3.5,6
34,2323,master's degree," $89,141 ",4,3.7,4
32,2098,some college," $42,566 ",4,3.3,8
28,1887,associate's degree," $63,006 ",3.5,3.2,6
31,2044,associate's degree," $94,412 ",3.9,3.8,7
27,1852,some high school," $55,093 ",3.5,3.1,6
32,2155,high school," $18,906 ",4,3.5,8
29,1988,bachelor's degree," $81,961 ",3.7,3.4,6
30,2109,bachelor's degree," $98,623 ",4,3.6,4
33,2204,high school," $61,916 ",4,3.6,6
30,1981,bachelor's degree," $72,572 ",3.7,3.6,3
25,1750,high school," $78,459 ",3.3,3.5,4
28,1908,some high school," $54,293 ",3.5,3.2,5
26,1865,some high school," $40,267 ",3.4,2.9,8
28,2000,high school," $75,673 ",3.9,3.4,6
31,2102,some college," $85,721 ",4,3.5,6
27,1945,high school," $48,537 ",3.5,3.3,6
28,1927,high school," $58,702 ",3.6,3.3,4
28,2000,bachelor's degree," $70,816 ",3.7,3.3,6
31,2118,some college," $68,920 ",4,3.3,5
31,2204,some college," $73,901 ",4,3.7,5
28,2123,master's degree," $82,476 ",4,3.6,4
27,1885,some high school," $54,088 ",3.6,3,5
29,2015,high school," $96,832 ",3.6,3.4,6
34,2374,bachelor's degree," $50,925 ",4,3.8,3
31,2085,bachelor's degree," $38,866 ",4,3.3,5
26,1817,some college," $92,025 ",3.3,3.6,4
28,1976,high school," $57,798 ",3.7,3.5,4
31,2033,master's degree," $77,510 ",3.9,3.3,4
30,2074,high school," $43,020 ",3.8,3.1,6
34,2246,some college," $57,397 ",4,3.1,5
28,2028,some high school," $68,442 ",3.8,3.4,8
24,1757,some high school," $48,225 ",3.1,3.3,4
24,1804,high school," $72,775 ",3.1,2.9,5
26,1899,high school," $57,917 ",3.3,3.2,5
25,1968,associate's degree," $78,025 ",3.6,3.5,5
30,2023,some college," $63,872 ",3.9,3.6,4
26,1896,master's degree," $92,667 ",3.5,3.6,3
33,2233,some college," $60,098 ",4,3.4,4
28,1849,some college," $29,641 ",3.5,2.9,6
32,2250,some college," $75,126 ",4,3.7,7
26,1819,high school," $56,416 ",3.3,3.4,5
33,2157,associate's degree," $51,253 ",4,3.7,3
30,2177,associate's degree," $75,373 ",4,3.4,5
26,1850,some college," $62,873 ",3.3,3.2,4
33,2165,high school," $84,996 ",4,3.6,5
28,2054,bachelor's degree," $88,598 ",3.8,3.3,5
25,1738,high school," $66,814 ",3.2,3.2,6
31,2166,bachelor's degree," $72,184 ",4,3.3,4
27,2039,bachelor's degree," $76,601 ",3.9,3.6,6
28,2018,some college," $72,571 ",3.9,3.4,4
27,1901,associate's degree," $64,516 ",3.4,3.5,3
28,1894,some high school," $57,339 ",3.7,3.2,4
28,1900,associate's degree," $71,645 ",3.6,3.4,4
30,2071,bachelor's degree," $83,717 ",3.9,3.5,4
33,2213,associate's degree," $63,932 ",4,3.6,5
29,2137,bachelor's degree," $80,557 ",4,2.8,7
30,2035,associate's degree," $83,803 ",4,3.7,4
28,2068,some high school," $67,571 ",3.8,3.4,6
29,1938,high school," $56,982 ",3.8,3.4,5
25,1786,associate's degree," $60,544 ",3.2,3.1,7
29,2006,high school," $38,779 ",3.8,3.2,5
30,2042,some college," $35,706 ",3.9,3.2,5
30,2126,master's degree," $112,920 ",4,3.5,5
30,2207,bachelor's degree," $77,114 ",4,3.3,5
26,1846,some college," $77,271 ",3.4,3.4,8
31,2163,some college," $76,445 ",4,3.3,5
28,1924,some high school," $44,724 ",3.6,2.9,6
29,1985,bachelor's degree," $65,944 ",3.8,3.3,4
33,2149,high school," $53,977 ",4,3.6,5
31,2112,bachelor's degree," $97,815 ",4,3.4,6
31,2080,some college," $63,996 ",4,3.6,3
32,2155,associate's degree," $62,304 ",4,3.4,5
26,1837,high school," $71,226 ",3.4,3.2,5
28,2002,bachelor's degree," $79,155 ",3.8,3.1,7
34,2242,high school," $89,887 ",4,3.8,4
33,2171,associate's degree," $59,147 ",4,3.4,5
32,2234,some college," $30,658 ",4,3,10
27,1930,some college," $59,443 ",3.6,3.2,4
32,2117,associate's degree," $94,415 ",4,3.8,4
32,2034,some high school," $31,713 ",3.9,3.2,8
34,2268,bachelor's degree," $93,832 ",4,3.8,6
